         1792 function calls (1786 primitive calls) in 0.052 seconds

   Ordered by: cumulative time
   List reduced from 132 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.052    0.052 matchedfilter.py:2520(process_data)
        1    0.000    0.000    0.052    0.052 matchedfilter.py:2525(process_all)
        2    0.002    0.001    0.052    0.026 matchedfilter.py:2795(_process_batch)
        1    0.000    0.000    0.026    0.026 torchfft.py:1414(execute)
        1    0.000    0.000    0.026    0.026 torchfft.py:874(_execute_fftw_cpu_batch_plan)
        1    0.026    0.026    0.026    0.026 torchfft.py:637(execute)
        1    0.009    0.009    0.021    0.021 matchedfilter.py:2094(_torch_batch_peak_values)
        4    0.006    0.001    0.006    0.001 {built-in method torch.argmax}
        8    0.005    0.001    0.005    0.001 {method 'square' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.003    0.003 scheme.py:432(_scheming_function)
        1    0.000    0.000    0.003    0.003 matchedfilter_torch.py:1047(batch_correlate_execute)
        1    0.000    0.000    0.003    0.003 matchedfilter_torch.py:536(_try_cpu_native_batch_correlate)
        1    0.002    0.002    0.003    0.003 matchedfilter_torch.py:505(execute)
        1    0.000    0.000    0.001    0.001 matchedfilter_torch.py:461(can_execute)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.all}
       65    0.000    0.000    0.001    0.000 matchedfilter_torch.py:492(<genexpr>)
       65    0.000    0.000    0.001    0.000 matchedfilter_torch.py:321(_batch_tensor_contract)
       65    0.000    0.000    0.000    0.000 matchedfilter_torch.py:174(_has_autograd_state)
        1    0.000    0.000    0.000    0.000 torchfft.py:781(_can_use_fftw_cpu_batch)
        1    0.000    0.000    0.000    0.000 matchedfilter_torch.py:339(_batch_outputs_are_disjoint)
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2165(_torch_batch_peak_magnitudes)
        4    0.000    0.000    0.000    0.000 {built-in method torch.arange}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.fromiter}
        2    0.000    0.000    0.000    0.000 matchedfilter_torch.py:359(_same_array_tensors)
       65    0.000    0.000    0.000    0.000 forward_ad.py:151(unpack_dual)
       65    0.000    0.000    0.000    0.000 matchedfilter_torch.py:207(_logical_storage_span)
       33    0.000    0.000    0.000    0.000 matchedfilter.py:2181(<genexpr>)
       33    0.000    0.000    0.000    0.000 graph.py:245(increment_version)
      205    0.000    0.000    0.000    0.000 {method 'data_ptr' of 'torch._C.TensorBase' objects}
       65    0.000    0.000    0.000    0.000 matchedfilter_torch.py:213(_is_inference_tensor)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2552(_process_vetoes)
       33    0.000    0.000    0.000    0.000 matchedfilter_torch.py:342(<genexpr>)
        1    0.000    0.000    0.000    0.000 matchedfilter_torch.py:495(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:771(get)
       67    0.000    0.000    0.000    0.000 {built-in method torch.is_inference}
        3    0.000    0.000    0.000    0.000 matchedfilter.py:59(_torch_inference_mode_context)
       65    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        3    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
        1    0.000    0.000    0.000    0.000 _tensor.py:1044(split)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 backend.py:60(backend_array)
    33/27    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 matchedfilter.py:2513(combine_results)
       33    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.generic' objects}


